(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B01MCWEFZO,"P&J Trading - Coconut Cream Pie Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CCRFBA,255,287,1,29,0,541.03,0,28,0
B01MRRFEB6,"P&J Fragrance Oil Christmas Set | Christmas Wreath, Mistletoe, Candy Cane, Gingerbread, Cinnamon, and Cranberry Candle Scents, Freshie Scents, Candle/Soap Making Supplies",FR10CHSFBA,1481,1649,0.9963,34,2,551.82,31.09,33,2
B01MTUK80R,"P&J Trading Fragrance Oils for Diffusers for Home Sweet Set Fragrance Scents for Candle Making - Soap Making Supplies - Car Diffuser Scents - Essential Home Gift Set - Cotton Candy, Smores & More",FR10SWS,861,962,1,11,1,167.35,14.44,11,1
B01MU5FYUC,"P&J Trading Fragrance Oil Summer Set | Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10SUS14FBA,2106,2729,0.9969,117,10,4124.21,347.63,116,9
B01MY2RYRZ,"P&J Trading Fragrance Oil Winter Set | Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10WIS10FBA,699,819,0.9754,15,2,527.75,65.79,15,2
B01MYTO3T4,"P&J Fragrance Oil Holiday Set for Christmas Home Decor | Mistletoe, Candy Cane, Wintermint, Apple Cider, Cranberry, and Forest Pine Candle Scents for Candle Making, Soap Making, Diffuser Oil Scent",FR1OHOSFBA,1092,1192,1,16,1,261.64,14.44,16,1
B01MZ4LZB0,"P&J Trading Spring Set of 14 Fragrance Oils - Scents for Candle Making, Soap Making Supplies, Diffuser Oils",FR10SPS14FBA,1576,1975,0.9984,48,4,1707.27,136.25,47,3
B01N7MQ2G7,"P&J Trading Sweet Essential Oil - 14x10ml Set, Premium Fragrance Oils for Candle Making, Diffuser, Soap, Perfume, Bath & Body, Cruelty-Free",FR10SWS14,3955,5471,0.9977,1,1,35.23,35.23,1,1
B01N7MQ2G7,"P&J Trading Sweet Essential Oil - 14x10ml Set, Premium Fragrance Oils for Candle Making, Diffuser, Soap, Perfume, Bath & Body, Cruelty-Free",FR10SWS14FBA,3955,5471,0.9977,167,14,5994.29,493.94,162,14
B01NBP6E9F,"P&J Trading Fragrance Oil Autumn Set of 14 Fragrance Oils for Candle Making, Soap Making, Home Diffuser Oil",FR1OAUS14FBA,1578,2010,0.9948,51,2,1800.39,65.79,51,2
B06ZXXHDFD,P&J Trading Fragrance Oil for Diffusers for Home - Vetiver 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10VET,29,38,1,6,0,29.94,0,6,0
B06ZXXL6F3,"P&J Trading Fragrance Oil | Frankincense & Myrrh Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30FMYFBA,189,227,0.9816,56,3,493.91,26.43,51,3
B06ZXXLGKV,"P&J Trading Fragrance Oil | Dirt Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100DIRFBA,198,235,1,44,4,818.46,71.82,43,4
B06ZY6WPLV,P&J Trading Fragrance Oil for Diffusers for Home - Apple Pie 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10API,40,55,1,6,0,29.94,0,6,0
B06ZY6ZBV2,"P&J Trading Fragrance Oil | Campfire Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CAMSLP,475,588,0.9982,152,24,1338.96,188.24,122,4
B06ZY6ZJSB,"P&J Fragrance Oil - Red Poppy Oil 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100REPFBA,45,53,0.98,9,0,170.55,0,9,0
B06ZY6ZP4F,"P&J Trading - Papaya Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100PAYFBA,67,86,1,24,3,453.66,55.71,17,3
B06ZYHKH7S,"P&J Trading - White Tea Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30WHTFBA,410,531,0.99,153,11,1353.36,76.78,145,9
B06ZYHKJ4Q,"P&J Fragrance Oil - Marshmallow Scent, 30ml",FR30MSH,1223,1591,0.9979,2,0,17.98,0,2,0
B06ZYHKJ4Q,"P&J Fragrance Oil - Marshmallow Scent, 30ml",FR30MSHSL,1223,1591,0.9979,328,7,2938.47,61.67,326,7
B06ZYHKRN8,"P&J Trading Fragrance | Lime Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100LIMFBA,84,94,1,23,2,435.09,37.14,23,2
B06ZYHKTPR,"P&J Fragrance Oil | Clean & Fresh Oil 100ml - Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR100CLFFBA,894,1045,0.9951,139,14,2583.15,254.16,129,9
B06ZYS3YYK,"P&J Fragrance Oil - Night Air 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30NIASL,136,155,0.9869,24,0,215.76,0,24,0
B06ZYS49FF,"P&J Fragrance Oil | Wisteria Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30WIT,120,151,0.993,1,1,8.81,8.81,1,1
B06ZYS49FF,"P&J Fragrance Oil | Wisteria Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30WITSL,120,151,0.993,48,3,430.98,26.43,47,3
B06ZZ3373H,"P&J Trading - Primrose Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PRISL,19,26,0.9565,5,1,44.77,8.81,5,1
B06ZZCFCZD,P&J Trading Fragrance Oil for Diffusers for Home - Marshmallow 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10MSH,91,108,0.9899,19,0,94.81,0,18,0
B06ZZCJ2WD,"P&J Trading - Frankincense & Myrrh Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100FMYFBA,459,593,0.9888,139,5,2632.15,92.85,133,5
B06ZZMSJ9Y,"P&J Trading Fragrance Oil | Lotus Blossom Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30LOBSL,127,164,0.9868,34,1,305.48,8.81,34,1
B06ZZMZR44,P&J Trading Fragrance Oil for Diffusers for Home - Lotus Blossom 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LOB,18,19,1,8,0,39.92,0,7,0
B06ZZMZRV1,P&J Trading Fragrance Oil for Diffusers for Home - Red Poppy 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10REP,14,15,0.9333,4,0,19.96,0,4,0
B06ZZMZS6M,P&J Trading Fragrance Oil for Diffusers for Home - Verbena 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10VBA,16,18,1,3,0,14.97,0,3,0
B06ZZN3718,"P&J Trading Fragrance Oil | Teakwood Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30TEK,584,722,0.9872,1,0,8.99,0,1,0
B06ZZN3718,"P&J Trading Fragrance Oil | Teakwood Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30TEKFBA,584,722,0.9872,255,5,2273.57,44.05,238,5
B06ZZN3CGL,"P&J Fragrance Oil - Fresh Cut Wood 30ml - Candle Scents, Soap Making, Diffuser Oil, Perfume Making Supplies",FR30FTWSL,45,52,1,12,0,107.88,0,12,0
B06ZZN3CV2,"P&J Trading - Magnolia Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30MAGSL,193,248,0.9908,84,4,754.44,35.24,81,4
B06ZZN3CV8,"P&J Trading Fragrance Oil | Peony Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30PEOFBASL,53,59,0.9818,25,2,224.39,17.62,25,2
B06ZZX23ZL,"P&J Trading Fragrance Oil | Clean & Fresh Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CLFSL,377,466,0.9953,97,2,871.67,17.62,96,2
B06ZZX2GBC,"P&J Trading Fragrance Oil | Verbena Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30VBASL,45,59,0.98,13,1,116.69,8.81,12,1
B06ZZXJK21,"P&J Trading - Chocolate Chip Cookie Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30CCKSL,205,252,0.9957,33,1,294.15,6.47,33,1
B06ZZXJPWS,"P&J Fragrance Oil - Apple Pie Scented Candle, 30ml",FR30APISL,224,247,0.9878,19,0,170.81,0,19,0
B07119SR1K,"P&J Fragrance Oil Halloween Set | Autumn Wreath, Pumpkin Pie, Candy Corn, Marshmallow, Night Air, and Caramel Corn Candle Freshie Scent for Candle Making, Soap Making Supplies",FR10HWSFBA,1617,1859,0.9478,63,1,1039.77,14.44,62,1
B071CL456F,"P&J Trading - Pecan Pie Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100PPIFBA,65,77,0.9722,18,4,339.58,74.28,16,3
B071CL4NTT,"P&J Trading - Red Poppy Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30REPSL,26,37,0.9697,11,1,98.71,8.81,11,1
B071CL4X4V,"P&J Trading Fragrance Oil | Peony Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PEOFBA,616,802,0.9919,179,12,3387.49,222.84,166,11
B071CVL74C,P&J Trading Fragrance Oil for Diffusers for Home - Fresh Cut Wood 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FTW,26,33,1,4,0,19.96,0,4,0
B071CVNYCW,"P&J Trading - Wisteria Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100WITFBA,92,114,1,20,0,379,0,20,0
B071D52TXP,P&J Trading Fragrance Oil for Diffusers for Home - Pecan Pie 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PPI,8,8,1,1,0,4.99,0,1,0
B071D54PLV,"P&J Trading Fragrance Oil | Primrose Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PRIFBA,48,59,1,4,0,75.8,0,4,0
B071DFLN49,P&J Trading Fragrance Oil for Diffusers for Home - Campfire 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CAM,127,148,0.9932,13,0,64.87,0,11,0
B071DFNX7Z,"P&J Trading - Papaya Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PAY,48,64,1,1,0,8.99,0,1,0
B071DFNX7Z,"P&J Trading - Papaya Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PAYSL,48,64,1,15,1,132.84,6.98,15,1
B071DFPN1B,"P&J Trading Fragrance Oil | Dirt Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30DIRSL,69,87,1,14,1,125.68,8.81,14,1
B071DFPPCB,"P&J Trading - Chocolate Chip Cookie Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CCKFBA,210,236,0.9957,23,1,402.32,18.57,23,1
B071DFPTMX,"P&J Trading - Leather Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100LEAFBA,1390,1835,0.9947,425,13,7880.65,241.41,393,13
B071DFPY7L,"P&J Trading Fragrance Oil | Campfire Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100CAMFBA,457,551,1,85,3,1595.41,55.71,71,3
B071DFPY7M,"P&J Trading - White Tea Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100WHTFBA,400,529,0.9854,115,4,2178.11,74.66,109,4
B071DT3WHS,"P&J Trading Fragrance Oil Camping Set | Campfire, Smores, Dirt, Fresh Cut Wood, Night Air, and Cedar Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR10CASFBA,2780,3396,0.9966,179,17,2986.47,279.99,171,14
B071R37873,P&J Trading Fragrance Oil for Diffusers for Home - Night Air 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10NIA,47,59,0.9821,16,0,79.84,0,16,0
B071R3B2FW,"P&J Trading Fragrance Oil | Vetiver Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30VETSL,148,199,0.9942,57,3,511.89,26.43,57,3
B071RCR3Y5,P&J Trading Fragrance Oil for Diffusers for Home - Lime 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LIM,24,32,1,7,2,34.73,9.78,7,2
B071RCTCNY,"P&J Trading Fragrance | Verbena Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100VBAFBA,135,173,0.9817,26,0,492.7,0,24,0
B071RCTS42,"P&J Trading Fragrance Oil | Apple Pie Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100APIFBA,389,472,0.9908,79,6,1494.77,111.42,71,5
B071RCTXXT,"P&J Fragrance Oil | Magnolia Oil 100ml - Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR100MAGFBA,307,370,0.9854,67,3,1268.51,55.71,60,3
B071RCTXXV,"P&J Trading Fragrance Oil | Night Air Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100NIAFBA,632,812,0.9932,66,5,1245.84,92.85,63,5
B071XTXZCX,P&J Trading Fragrance Oil for Diffusers for Home - Dirt 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10DIR,56,68,1,16,0,79.84,0,16,0
B071XTY3JZ,P&J Trading Fragrance Oil for Diffusers for Home - Wisteria 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10WIT,32,39,1,5,0,24.95,0,5,0
B071XV1G7R,"P&J Trading Fragrance Oil | Lime Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30LIMSL,73,98,1,40,2,355.58,13.96,39,1
B071Y48WPC,P&J Trading Fragrance Oil for Diffusers for Home - White Tea 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10WHT,22,32,0.9643,4,0,19.96,0,4,0
B071Y4966Y,P&J Trading Fragrance Oil for Diffusers for Home - Peony 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PEO,44,49,0.9375,16,0,79.84,0,14,0
B071Y497KT,P&J Trading Fragrance Oil for Diffusers for Home - Papaya 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PAY,14,18,0.9333,1,0,4.99,0,1,0
B071Y4CJ9T,"P&J Fragrance Oil - Vetiver 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100VETFBA,182,222,1,30,2,568.12,37.52,29,2
B071Y4CM3D,"P&J Trading - Leather Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30LEAFBASL,1029,1321,0.9911,435,7,3900.58,61.85,426,6
B071Y4CTKC,"P&J Trading - Pecan Pie Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PPISL,33,35,1,4,0,35.96,0,4,0
B071Y4CTKH,"P&J Trading - Fig Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30FIGFBASL,54,71,0.9841,18,0,161.82,0,17,0
B071Y4CWWB,"P&J Trading - Lotus Blossom Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100LOBFBA,223,267,0.9684,45,3,834.57,55.71,43,3
B071YDT35M,P&J Trading Fragrance Oil for Diffusers for Home - Magnolia 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10MAG,20,23,1,2,0,9.98,0,2,0
B071YDT456,P&J Trading Fragrance Oil for Diffusers for Home - Fig 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FIG,55,71,0.9851,15,0,74.85,0,15,0
B071YDT52H,P&J Trading Fragrance Oil for Diffusers for Home - Cedar 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CED,32,41,0.9459,5,0,24.95,0,5,0
B071YSBQXP,"P&J Trading Fragrance Oil Woodshop Set | Forest Pine, Fresh Cut Wood, Leather, Teakwood, Bamboo, and Cedar Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR10WOSFBA,130,146,0.0219,1,1,16.65,16.65,1,1
B07227G4XM,"P&J Trading Fresh Cut Wood Essential Oil, 100ml - Candle Making, Diffuser, Soap, Perfume, Aromatherapy",FR100FTWFBA,70,81,1,23,0,435.85,0,23,0
B07227RZ44,P&J Trading Fragrance Oil for Diffusers for Home - Frankincense & Myrrh 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FMY,30,43,1,5,0,24.95,0,4,0
B07227V7M5,"P&J Fragrance Oil - Marshmallow Scented Candle, 100ml",FR100MSHFBA,659,832,1,114,13,2112.76,241.41,111,13
B07227ZRZR,P&J Trading Fragrance Oil for Diffusers for Home - Teakwood 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10TEK,31,34,0.9688,5,0,24.95,0,5,0
B072281BW1,P&J Trading Fragrance Oil for Diffusers for Home - Leather 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10LEA,73,92,0.9579,37,0,184.63,0,32,0
B072281LBW,"P&J Fragrance Oil - Teakwood 100ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR100TEKFBA,2132,2697,0.9878,586,26,10914.43,482.82,531,21
B07228J93M,P&J Trading Fragrance Oil for Diffusers for Home - Clean & Fresh 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CLF,46,60,0.9811,11,0,54.89,0,11,0
B07228VJ26,"P&J Trading - Fig Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100FIGFBA,242,314,0.9863,58,0,1068.79,0,52,0
B072DYHGJF,P&J Trading Fragrance Oils for Diffusers for Home Cookies & Cakes Set Fragrance Scents for Candle Making - Soap Making - Car Diffuser Scents - Essential Home Gift Set - Sugar Cookie & More,FR10CCSFBA,3016,3823,0.9887,162,11,2854.08,191.59,162,11
B072L6QVWC,"P&J Fragrance Oil Far East Set | Ylang Ylang, Green Tea, Lotus Blossom, Orchid, Bamboo, and Peony Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR10FESFBA,718,799,0.005,2,2,33.3,33.3,2,2
B0757SR4N9,"P&J Trading - Raspberry Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100RASFBA,346,460,0.9952,111,10,2089.05,186.46,100,6
B0757X2TG5,"P&J Trading - Rosemary Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30RMYSL,69,81,0.9744,21,4,179.08,35.24,20,4
B0757YRS6Y,"P&J Fragrance Oil - Thyme 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30THYSL,17,20,1,8,1,69.91,6.98,8,1
B0757Z241G,"P&J Trading - Pearberry Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100PBRFBA,132,164,0.9932,36,1,673.3,18.57,28,1
B075812L85,"P&J Fragrance Oil - Watermelon Scented Candle Making, Soap Making, Diffuser Oil, 100ml",FR100WATFBA,380,495,1,89,8,1646.59,148.56,83,6
B075813H8L,"P&J Trading - Jelly Bean Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30JEBSL,31,33,0.9688,6,2,49.92,13.96,6,2
B07581GJ4Z,"P&J Trading - Candy Apple Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CAA,228,261,1,1,0,18.95,0,1,0
B07581GJ4Z,"P&J Trading - Candy Apple Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CAAFBA,228,261,1,10,0,178.14,0,9,0
B07581XC54,"P&J Trading - Pearberry Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PBRFBA,25,32,0.963,7,0,62.93,0,7,0
B075821TN1,"P&J Trading - Butterscotch Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BSCFBA,258,294,0.9964,41,4,761.23,74.28,41,4
B075822KYF,"P&J Trading Fragrance | Hot Chocolate Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100HOCFBA,162,200,0.9946,41,2,764.83,37.14,35,2
B075824NMT,"P&J Fragrance Oil Butterscotch 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30BSCSL,153,175,0.9827,41,8,352.51,55.84,40,7
B075824NMV,"P&J Trading - Jelly Bean Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100JEBFBA,20,27,1,7,1,132.27,18.57,7,1
B07582BDKW,"P&J Trading - Black Licorice Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BLLFBA,56,65,1,21,0,379,0,19,0
B07582BNMV,"P&J Trading Fragrance | Watermelon Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30WAT,171,208,0.9757,2,0,17.98,0,2,0
B07582BNMV,"P&J Trading Fragrance | Watermelon Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30WATSL,171,208,0.9757,49,2,440.15,17.62,49,2
B07582HCXL,"P&J Trading Fragrance | Black Licorice Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30BLLSL,14,17,1,5,1,44.77,8.81,5,1
B07582SRL4,"P&J Fragrance Oil - Raspberry Oil 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30RASSL,78,97,0.9778,36,4,315.6,27.92,35,3
B075834YVG,"P&J Trading - Hot Chocolate Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30HOCSL,159,224,0.995,65,3,583.81,26.43,64,3
B075838C7D,"P&J Fragrance Oil Candy Apple 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30CAASL,46,50,1,14,1,123.85,6.98,14,1
B07584LZ3B,"P&J Trading - Thyme Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100THYFBA,26,31,1,7,0,132.65,0,7,0
B07585NQ42,"P&J Fragrance Oil Rosemary 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scent",FR100RMY,36,44,0.9286,11,1,208.07,18.57,11,1
B0758HDBVR,P&J Trading Fragrance Oil for Diffusers for Home - Hot Chocolate 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10HOC,24,35,1,2,0,9.98,0,2,0
B0758HMZR5,P&J Trading Fragrance Oil for Diffusers for Home - Thyme 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10THY,6,6,1,1,0,4.99,0,1,0
B0758HT234,P&J Trading Fragrance Oil for Diffusers for Home - Jelly Bean 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10JEB,12,13,0.9231,2,0,9.98,0,2,0
B0758J1SHP,P&J Trading Fragrance Oil for Diffusers for Home - Raspberry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10RAS,90,113,0.9714,19,0,94.81,0,19,0
B0758M7DJN,P&J Trading Fragrance Oil for Diffusers for Home - Pearberry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PBR,16,21,1,8,0,39.92,0,8,0
B0758TNNFC,"P&J Fragrance Oil Candy Apple 10ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR10CAA,35,43,1,5,0,24.95,0,2,0
B0758WW8LK,P&J Trading Fragrance Oil for Diffusers for Home - Watermelon 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10WAT,60,88,1,23,11,109.77,49.89,14,2
B0758X1JT4,P&J Trading Fragrance Oil for Diffusers for Home - Butterscotch 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BSC,21,25,1,7,0,34.93,0,7,0
B0758YL5M3,P&J Trading Fragrance Oil for Diffusers for Home - Black Licorice 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BLL,28,37,1,8,0,39.92,0,8,0
B07H3BCLZ8,P&J Trading Fragrance Oil for Diffusers for Home - Blueberry Muffin 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BLM,28,41,1,6,0,29.94,0,5,0
B07H3BTHHH,P&J Trading Fragrance Oil for Diffusers for Home - Strawberry Shortcake 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10SSH,48,57,1,7,0,34.93,0,7,0
B07H3BZLY2,P&J Trading Fragrance Oil for Diffusers for Home - Maple Syrup 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10MAP,34,40,1,4,0,19.96,0,4,0
B07H3CCBHZ,P&J Trading Fragrance Oil for Diffusers for Home - Cola 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10COL,37,49,0.9767,5,0,24.95,0,5,0
B07H3CCVKL,P&J Trading Fragrance Oil for Diffusers for Home - Churro 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CHU,27,35,0.9706,1,0,4.99,0,1,0
B07H3D3RYW,P&J Trading Fragrance Oil for Diffusers for Home - Coffee 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CFF,39,50,1,16,0,79.84,0,13,0
B07H3D6J2K,P&J Trading Fragrance Oil for Diffusers for Home - Clove 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CLO,42,45,0.8605,2,0,9.98,0,2,0
B07H3DRT1B,P&J Trading Fragrance Oil for Diffusers for Home - Red Cherry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10REC,65,94,1,22,0,109.78,0,21,0
B07H3FFCGH,P&J Trading Fragrance Oil for Diffusers for Home - Chai Tea 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CTE,19,22,0.6,5,0,24.95,0,5,0
B07H3FP1HG,P&J Trading Fragrance Oil for Diffusers for Home - Aloe 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10ALO,28,35,0.9063,11,0,54.89,0,10,0
