(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00BVX5XYS,"P&J Trading - Ambrosia Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30AMBSL,44,48,1,11,1,98.71,8.81,11,1
B00BYCYMPW,P&J Trading Fragrance Oil for Diffusers for Home - Almond 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10ALM,44,53,0.94,7,0,34.93,0,7,0
B00BYCYNW4,P&J Trading Fragrance Oil for Diffusers for Home - Apple 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10APP,54,75,0.9306,27,14,131.37,66.5,15,2
B00BYCYP22,P&J Trading Fragrance Oil for Diffusers for Home - Banana 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BAN,38,44,0.9762,13,1,64.77,4.89,13,1
B00BYCYQ3A,P&J Trading Fragrance Oil for Diffusers for Home - Blueberry 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BLU,31,39,1,9,0,44.91,0,8,0
B00BYCYR4I,P&J Trading Fragrance Oil for Diffusers for Home - Christmas Wreath 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CHW,13,17,1,3,0,14.97,0,3,0
B00BYCYS8S,P&J Trading Fragrance Oil for Diffusers for Home - Cinnamon 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CIN,33,40,0.9211,9,0,44.91,0,8,0
B00BYCYTG4,P&J Trading Fragrance Oil for Diffusers for Home - Coconut 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10COC,39,47,1,11,0,54.89,0,10,0
B00BYCYW0C,P&J Trading Fragrance Oil for Diffusers for Home - Gardenia 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10GAR,15,23,1,5,0,24.95,0,5,0
B00BYCYX1K,P&J Trading Fragrance Oil for Diffusers for Home - Gingerbread 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10GIN,14,16,1,4,0,19.96,0,4,0
B00BYCYYGY,P&J Trading Fragrance Oil for Diffusers for Home - Harvest Spice 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10HAS,17,21,1,2,0,9.98,0,2,0
